income,age,sex,occupation
0,26,0,Craft-repair
0,36,1,Other-service
1,62,0,Prof-specialty
0,43,0,Transport-moving
1,43,0,Exec-managerial
0,22,0,Sales
0,28,0,Craft-repair
0,56,0,Sales
0,22,1,Sales
1,57,1,Exec-managerial
0,39,1,Sales
0,26,1,Adm-clerical
0,17,0,Other-service
1,40,0,Machine-op-inspct
0,45,0,Machine-op-inspct
0,44,0,Craft-repair
0,20,1,Adm-clerical
0,33,1,Craft-repair
0,23,0,Sales
0,46,0,Exec-managerial
0,38,0,Sales
0,54,0,Transport-moving
0,46,1,Craft-repair
0,25,0,Craft-repair
0,46,1,Sales
0,36,1,Transport-moving
0,23,1,Other-service
0,29,0,Machine-op-inspct
1,44,1,Adm-clerical
0,19,1,Adm-clerical
0,19,1,Other-service
1,35,1,Other-service
0,27,0,Craft-repair
0,46,0,Craft-repair
1,34,0,Exec-managerial
0,34,1,Other-service
0,44,0,Tech-support
0,45,1,Handlers-cleaners
0,20,1,?
1,25,0,Exec-managerial
1,52,0,Exec-managerial
0,20,0,Handlers-cleaners
0,28,1,Other-service
1,50,0,Protective-serv
0,34,1,Tech-support
0,28,0,Handlers-cleaners
1,41,0,Exec-managerial
0,28,0,Adm-clerical
0,46,0,Craft-repair
1,28,1,?
0,32,0,Exec-managerial
0,41,1,Other-service
0,24,1,Handlers-cleaners
0,33,1,Exec-managerial
1,46,0,Exec-managerial
0,31,0,Machine-op-inspct
1,35,0,Craft-repair
0,52,0,Machine-op-inspct
0,30,1,Other-service
0,34,0,Machine-op-inspct
0,34,1,Transport-moving
0,20,0,Sales
0,17,0,Handlers-cleaners
1,32,1,Exec-managerial
0,29,0,Farming-fishing
0,33,1,Craft-repair
0,25,0,Transport-moving
0,36,0,Prof-specialty
0,23,0,Handlers-cleaners
1,63,0,Exec-managerial
0,47,0,Prof-specialty
0,80,0,?
0,17,0,?
0,40,1,Prof-specialty
1,30,1,Other-service
0,27,0,Craft-repair
1,33,0,Prof-specialty
0,34,0,Farming-fishing
0,34,1,Protective-serv
0,23,0,Adm-clerical
0,42,1,Adm-clerical
0,29,0,Prof-specialty
0,45,1,Adm-clerical
0,24,0,Armed-Forces
1,44,0,Prof-specialty
0,27,0,Craft-repair
0,20,0,Sales
0,44,1,Exec-managerial
0,51,0,Craft-repair
0,20,0,Machine-op-inspct
0,17,1,?
0,19,1,Machine-op-inspct
1,45,0,Craft-repair
1,60,0,Craft-repair
1,42,0,Exec-managerial
1,44,1,Sales
1,40,0,Machine-op-inspct
0,30,1,Exec-managerial
0,38,0,Transport-moving
0,23,0,Transport-moving
0,32,0,?
0,44,0,Farming-fishing
0,54,0,Transport-moving
0,32,0,Prof-specialty
0,50,0,Craft-repair
0,24,1,Tech-support
0,37,1,Adm-clerical
0,52,0,Transport-moving
0,38,0,Transport-moving
1,49,0,Exec-managerial
1,30,1,Tech-support
1,60,0,Prof-specialty
0,22,0,?
0,35,0,Craft-repair
0,30,0,Transport-moving
0,67,1,Other-service
0,46,1,Craft-repair
0,17,0,Other-service
0,22,0,Handlers-cleaners
0,27,0,Other-service
0,23,1,Other-service
0,33,0,Craft-repair
0,43,0,Craft-repair
0,28,0,Prof-specialty
0,41,1,Craft-repair
0,52,0,?
0,25,1,Adm-clerical
0,63,0,?
0,59,0,Transport-moving
0,45,1,Prof-specialty
1,38,0,Sales
0,40,1,Other-service
0,46,0,Adm-clerical
0,35,1,Exec-managerial
0,34,1,Prof-specialty
0,33,0,Craft-repair
0,41,1,Adm-clerical
0,20,0,Machine-op-inspct
0,23,0,Other-service
0,26,1,Prof-specialty
0,72,0,?
0,23,0,Farming-fishing
0,62,0,Transport-moving
0,52,0,Adm-clerical
0,58,1,Other-service
0,25,1,Sales
0,24,0,Exec-managerial
0,19,0,Protective-serv
0,43,0,Exec-managerial
0,47,1,Adm-clerical
0,39,1,Other-service
0,49,0,Handlers-cleaners
0,53,1,?
0,32,0,Craft-repair
1,34,0,Prof-specialty
0,28,0,Craft-repair
0,57,1,?
0,25,1,Adm-clerical
0,20,0,?
0,21,1,?
1,34,0,Prof-specialty
1,38,0,Exec-managerial
1,50,0,Exec-managerial
0,24,0,Handlers-cleaners
1,37,0,Tech-support
1,44,0,Machine-op-inspct
0,28,1,Sales
1,42,0,Exec-managerial
0,74,1,Adm-clerical
0,38,0,Craft-repair
0,44,0,Prof-specialty
0,44,1,Machine-op-inspct
0,26,0,Machine-op-inspct
0,36,0,Other-service
1,41,1,Exec-managerial
1,67,0,Prof-specialty
0,39,0,Tech-support
0,57,1,Priv-house-serv
0,29,0,Craft-repair
0,31,1,Farming-fishing
0,34,1,?
0,44,0,Transport-moving
0,29,0,Prof-specialty
0,30,1,Handlers-cleaners
0,27,0,Transport-moving
0,27,0,Sales
0,32,1,Handlers-cleaners
0,58,1,Other-service
0,35,0,Protective-serv
0,21,0,Handlers-cleaners
0,28,0,Craft-repair
0,46,0,Exec-managerial
0,36,1,Other-service
0,72,1,Adm-clerical
0,35,1,Machine-op-inspct
1,33,1,Craft-repair
0,69,1,Machine-op-inspct
0,35,0,Machine-op-inspct
0,31,1,Adm-clerical
0,34,1,Tech-support
0,30,0,Other-service
0,28,0,Transport-moving
1,54,0,Sales
1,47,0,Prof-specialty
0,24,1,Handlers-cleaners
1,52,0,Prof-specialty
0,20,0,Handlers-cleaners
0,43,0,Exec-managerial
0,45,1,Other-service
0,29,0,Craft-repair
0,47,0,Exec-managerial
0,24,0,Craft-repair
0,51,0,Prof-specialty
0,17,0,Sales
1,37,0,Craft-repair
0,27,1,Prof-specialty
1,29,0,Exec-managerial
0,18,0,?
0,36,1,Sales
0,58,1,Prof-specialty
0,26,0,Craft-repair
1,65,0,?
1,57,0,Sales
0,59,0,Craft-repair
0,27,0,Machine-op-inspct
0,31,0,Tech-support
0,21,1,Sales
0,29,0,Adm-clerical
0,18,0,Other-service
1,52,0,Craft-repair
0,57,0,Prof-specialty
0,42,0,?
0,55,1,?
1,60,0,Transport-moving
1,31,0,Prof-specialty
0,23,1,Adm-clerical
0,27,0,Sales
0,23,1,?
1,42,0,Prof-specialty
0,25,0,Tech-support
0,49,1,Prof-specialty
0,32,0,Tech-support
0,19,0,Adm-clerical
0,60,1,Other-service
0,42,0,Other-service
0,35,0,Farming-fishing
0,48,1,Adm-clerical
1,51,0,Craft-repair
0,29,0,Craft-repair
0,36,0,Exec-managerial
0,17,1,Other-service
0,52,1,Prof-specialty
0,24,0,Craft-repair
0,24,0,Handlers-cleaners
0,26,0,Prof-specialty
0,27,1,Other-service
0,39,0,Handlers-cleaners
0,30,0,Transport-moving
0,50,0,Exec-managerial
0,52,0,Sales
1,46,0,Prof-specialty
0,23,1,Sales
0,45,1,Other-service
0,65,1,Priv-house-serv
0,29,0,Transport-moving
0,47,0,Handlers-cleaners
0,30,0,Farming-fishing
1,34,0,Sales
0,38,0,Sales
1,33,0,Exec-managerial
1,49,0,Sales
0,47,1,Other-service
0,49,1,Other-service
1,43,0,Craft-repair
1,30,1,Adm-clerical
0,58,0,Craft-repair
0,19,1,Other-service
0,21,0,Handlers-cleaners
1,33,0,Exec-managerial
0,47,0,Transport-moving
1,52,0,Prof-specialty
0,26,0,Craft-repair
0,60,0,Craft-repair
0,21,0,Handlers-cleaners
1,36,0,Sales
0,31,0,Craft-repair
1,50,0,Prof-specialty
0,31,1,Adm-clerical
0,71,0,Craft-repair
0,58,0,?
1,30,0,Tech-support
0,20,0,Other-service
0,24,0,Exec-managerial
1,35,0,Prof-specialty
0,38,1,Exec-managerial
0,27,1,Machine-op-inspct
0,29,1,Adm-clerical
0,70,1,?
0,34,0,Craft-repair
0,44,0,Craft-repair
1,43,0,Machine-op-inspct
1,44,0,Handlers-cleaners
0,35,0,Sales
0,27,0,Prof-specialty
0,43,0,Prof-specialty
0,20,1,Sales
1,42,1,Prof-specialty
0,27,0,Transport-moving
1,42,0,Craft-repair
0,20,1,?
0,24,0,Machine-op-inspct
0,48,0,Exec-managerial
0,17,1,?
0,17,0,Farming-fishing
1,33,0,Exec-managerial
1,50,0,Sales
0,22,1,Sales
0,17,0,Other-service
0,32,0,Adm-clerical
0,31,0,Craft-repair
0,58,0,Exec-managerial
0,29,0,Protective-serv
1,37,0,Craft-repair
1,34,0,Craft-repair
0,23,0,Exec-managerial
0,18,1,Adm-clerical
0,34,1,Exec-managerial
0,66,0,?
0,45,1,Prof-specialty
0,41,0,Exec-managerial
0,26,0,Other-service
0,54,0,Farming-fishing
0,24,1,Machine-op-inspct
0,42,0,Prof-specialty
0,20,0,Prof-specialty
0,23,1,Tech-support
0,25,0,?
1,35,0,Prof-specialty
1,31,0,Tech-support
0,30,1,Prof-specialty
0,19,1,Sales
0,36,0,Prof-specialty
0,31,1,Sales
0,21,0,Handlers-cleaners
0,31,0,Craft-repair
1,46,1,Prof-specialty
1,44,1,Exec-managerial
0,40,0,Other-service
0,45,0,Sales
0,60,0,Craft-repair
0,18,0,Other-service
0,28,0,Prof-specialty
0,36,1,Adm-clerical
0,36,0,Prof-specialty
0,40,0,Tech-support
0,36,1,Adm-clerical
0,31,1,Other-service
0,33,0,Machine-op-inspct
0,19,1,Tech-support
0,22,1,Sales
1,34,0,Exec-managerial
0,33,0,Other-service
0,41,0,Craft-repair
0,29,0,Prof-specialty
1,50,0,Exec-managerial
1,42,0,Exec-managerial
1,43,0,Prof-specialty
0,44,1,Sales
0,20,1,Other-service
0,31,0,Other-service
1,65,0,Exec-managerial
0,23,1,Other-service
0,55,1,Adm-clerical
0,26,0,Adm-clerical
0,25,1,Other-service
0,45,1,?
0,35,0,Craft-repair
0,36,1,Sales
0,43,0,Prof-specialty
0,56,1,Other-service
1,42,0,Tech-support
0,19,1,Other-service
0,55,0,Transport-moving
1,42,1,Exec-managerial
0,26,0,Tech-support
0,17,0,Handlers-cleaners
1,42,1,Prof-specialty
1,55,0,Transport-moving
0,32,1,Adm-clerical
0,29,0,Craft-repair
0,46,0,Prof-specialty
1,29,0,Exec-managerial
0,22,0,Prof-specialty
0,58,0,Craft-repair
0,23,0,Transport-moving
0,39,0,Handlers-cleaners
0,27,0,Craft-repair
1,54,0,Transport-moving
0,33,1,Prof-specialty
1,46,1,Adm-clerical
0,37,0,Farming-fishing
0,36,1,Other-service
1,59,1,Adm-clerical
0,34,0,Protective-serv
1,53,0,Exec-managerial
1,51,0,Sales
0,32,1,Other-service
0,31,0,Other-service
0,22,1,Sales
0,47,1,Sales
0,32,0,Machine-op-inspct
0,26,1,Farming-fishing
0,37,0,Farming-fishing
0,31,0,Craft-repair
1,37,1,Tech-support
0,55,0,Sales
0,23,0,Tech-support
0,36,1,Adm-clerical
0,34,0,Prof-specialty
1,43,0,Sales
0,54,0,Tech-support
0,43,0,Craft-repair
0,28,1,Machine-op-inspct
1,40,0,Exec-managerial
0,41,0,Exec-managerial
1,40,1,Sales
0,42,1,Adm-clerical
0,61,0,Farming-fishing
0,18,0,Machine-op-inspct
0,59,0,?
0,21,1,?
1,48,0,Tech-support
0,41,0,Tech-support
0,18,0,?
0,23,1,Sales
1,60,0,Transport-moving
0,22,0,Other-service
0,61,0,Machine-op-inspct
0,25,0,Machine-op-inspct
1,46,0,Tech-support
1,43,0,Exec-managerial
0,43,0,Craft-repair
0,24,0,Other-service
0,68,0,Farming-fishing
0,31,1,Adm-clerical
0,17,1,Sales
1,32,0,Craft-repair
0,50,0,?
1,33,0,Prof-specialty
1,64,0,Prof-specialty
0,20,0,Transport-moving
0,30,1,Other-service
0,22,0,?
0,43,0,Exec-managerial
0,22,0,Adm-clerical
0,17,0,Farming-fishing
0,47,1,Other-service
0,41,1,Prof-specialty
1,56,0,Craft-repair
0,64,0,Transport-moving
1,47,0,Transport-moving
0,48,0,Adm-clerical
0,31,1,Prof-specialty
0,29,0,Tech-support
0,30,1,Adm-clerical
0,32,0,Exec-managerial
1,57,0,Transport-moving
0,62,1,Other-service
0,39,1,Machine-op-inspct
0,43,0,Adm-clerical
0,24,0,Sales
0,42,0,?
1,53,1,Adm-clerical
0,26,0,Handlers-cleaners
0,73,0,Exec-managerial
0,72,1,?
0,55,0,Machine-op-inspct
0,25,0,Adm-clerical
1,41,1,Prof-specialty
0,24,0,Exec-managerial
0,63,0,Farming-fishing
0,17,0,Sales
0,35,0,Craft-repair
1,51,0,Prof-specialty
0,62,1,Prof-specialty
1,55,0,Craft-repair
0,43,0,Prof-specialty
0,40,1,Other-service
1,37,0,Exec-managerial
0,39,0,Craft-repair
0,31,0,Craft-repair
1,61,1,Prof-specialty
0,26,1,Adm-clerical
0,46,0,Sales
0,26,1,Prof-specialty
1,48,0,Prof-specialty
0,34,0,Transport-moving
0,34,1,Adm-clerical
1,59,0,Other-service
0,34,1,Prof-specialty
1,49,1,Exec-managerial
0,18,1,Adm-clerical
0,43,0,Farming-fishing
0,48,0,Exec-managerial
0,28,0,Exec-managerial
0,33,0,Machine-op-inspct
0,24,1,Sales
0,21,0,Handlers-cleaners
0,17,0,Sales
1,39,0,Farming-fishing
0,29,0,Prof-specialty
1,44,0,Exec-managerial
0,24,0,Transport-moving
1,71,0,Sales
1,51,0,Sales
0,55,0,Other-service
1,41,0,Exec-managerial
0,23,1,Handlers-cleaners
0,38,1,Adm-clerical
1,39,0,Transport-moving
0,19,1,Adm-clerical
0,49,1,Machine-op-inspct
1,32,0,Adm-clerical
0,27,0,Craft-repair
1,38,0,Sales
0,33,1,Craft-repair
0,63,0,?
0,23,0,Exec-managerial
0,33,0,Craft-repair
0,54,0,Sales
0,29,1,Tech-support
0,48,1,?
0,35,0,Exec-managerial
0,28,1,Adm-clerical
1,37,0,Prof-specialty
1,42,0,Farming-fishing
0,40,0,Prof-specialty
0,47,0,Sales
0,22,1,Exec-managerial
1,30,0,Exec-managerial
0,28,0,Tech-support
0,63,0,Other-service
0,51,0,Craft-repair
0,22,1,Handlers-cleaners
0,27,0,?
0,35,0,Sales
0,46,1,Machine-op-inspct
0,37,0,Machine-op-inspct
0,24,0,Prof-specialty
0,37,0,Handlers-cleaners
0,53,0,Tech-support
0,27,0,Sales
0,38,0,Craft-repair
0,53,0,Farming-fishing
0,34,0,Craft-repair
0,23,0,Sales
1,39,0,Exec-managerial
0,43,1,Prof-specialty
1,67,0,Exec-managerial
0,81,0,Exec-managerial
0,21,0,Other-service
0,23,0,Sales
0,25,0,Transport-moving
0,42,1,Machine-op-inspct
0,38,1,Adm-clerical
0,64,0,?
0,32,0,Machine-op-inspct
0,37,0,Machine-op-inspct
1,51,0,Exec-managerial
0,22,1,Sales
0,33,1,Priv-house-serv
0,42,0,Machine-op-inspct
0,19,1,?
0,51,0,Other-service
0,23,1,Adm-clerical
1,37,0,Machine-op-inspct
1,37,0,Craft-repair
0,47,1,Prof-specialty
1,41,0,Prof-specialty
0,33,0,Craft-repair
1,31,0,Sales
0,31,1,Other-service
0,35,0,Machine-op-inspct
1,38,0,Exec-managerial
0,18,1,Other-service
0,20,0,Machine-op-inspct
0,54,1,Exec-managerial
0,40,1,Adm-clerical
1,36,1,Exec-managerial
0,43,0,Craft-repair
0,44,0,Farming-fishing
1,44,1,Prof-specialty
1,43,0,Exec-managerial
0,51,1,Other-service
0,18,1,Other-service
0,51,0,Exec-managerial
0,41,0,Craft-repair
1,44,0,Sales
0,33,0,Transport-moving
1,33,0,Exec-managerial
1,42,0,Exec-managerial
0,25,0,Prof-specialty
0,32,1,Machine-op-inspct
0,32,0,Craft-repair
0,36,1,Exec-managerial
0,28,0,Transport-moving
0,20,1,Other-service
1,35,0,Sales
0,55,0,Craft-repair
1,48,0,Exec-managerial
0,36,1,?
1,34,0,Craft-repair
0,28,1,Tech-support
1,67,0,Exec-managerial
0,37,0,Craft-repair
0,44,0,Transport-moving
0,25,1,Sales
0,21,1,Exec-managerial
1,40,0,Prof-specialty
0,78,1,Other-service
0,34,0,Handlers-cleaners
0,49,1,Adm-clerical
0,22,1,Adm-clerical
0,23,1,?
0,60,0,Farming-fishing
1,45,0,Protective-serv
0,63,1,Other-service
0,41,1,Craft-repair
0,47,1,Adm-clerical
0,44,0,Craft-repair
0,51,1,Prof-specialty
0,46,0,Sales
0,41,0,Machine-op-inspct
0,50,0,Craft-repair
1,47,0,Adm-clerical
0,35,0,Exec-managerial
1,56,0,Exec-managerial
0,45,0,Prof-specialty
1,48,0,Exec-managerial
0,40,0,Machine-op-inspct
1,39,0,Exec-managerial
0,20,0,Other-service
1,50,0,Prof-specialty
1,38,1,Prof-specialty
0,23,1,Prof-specialty
0,31,0,Other-service
0,58,0,Adm-clerical
0,66,0,Machine-op-inspct
1,39,0,Exec-managerial
1,54,0,Craft-repair
0,26,0,Sales
0,51,1,Machine-op-inspct
0,34,0,Transport-moving
1,50,0,Machine-op-inspct
1,42,0,Prof-specialty
0,38,0,Prof-specialty
0,48,0,Handlers-cleaners
1,33,1,Tech-support
0,51,1,Other-service
0,22,0,Craft-repair
0,19,0,?
0,41,0,Craft-repair
1,48,0,Prof-specialty
0,42,1,Sales
0,34,0,Other-service
0,23,1,Machine-op-inspct
0,56,0,Other-service
0,30,0,Prof-specialty
1,45,0,Exec-managerial
0,48,1,Adm-clerical
0,48,0,Sales
0,31,1,Adm-clerical
0,20,0,Other-service
0,27,0,Sales
0,32,1,Other-service
0,76,0,?
0,19,0,?
0,66,0,Exec-managerial
0,37,0,Other-service
0,34,1,Priv-house-serv
0,34,1,?
0,90,1,Other-service
0,23,1,Machine-op-inspct
0,43,1,Adm-clerical
1,44,0,Exec-managerial
0,24,1,Tech-support
0,28,0,Prof-specialty
0,64,1,?
0,23,0,Other-service
0,20,1,Sales
1,36,0,Prof-specialty
0,61,0,Machine-op-inspct
1,53,0,Sales
1,30,0,Adm-clerical
1,52,0,Sales
0,38,0,Craft-repair
0,32,0,Sales
0,30,0,Transport-moving
0,41,1,Craft-repair
1,49,0,Prof-specialty
1,45,0,Craft-repair
0,43,0,Exec-managerial
0,61,0,Machine-op-inspct
0,54,0,Other-service
0,34,1,Other-service
1,49,0,Sales
0,38,0,Other-service
1,35,0,Prof-specialty
0,36,0,Transport-moving
0,30,0,Exec-managerial
0,36,1,Tech-support
0,22,1,Prof-specialty
1,38,0,Craft-repair
1,37,0,Craft-repair
1,48,1,Prof-specialty
0,17,0,Adm-clerical
0,19,0,Craft-repair
0,27,1,Sales
0,22,0,Sales
0,49,0,Craft-repair
1,43,1,Prof-specialty
0,43,1,Prof-specialty
0,19,1,Exec-managerial
0,58,0,Farming-fishing
1,41,0,Protective-serv
0,31,0,Adm-clerical
0,30,0,Transport-moving
0,32,0,Protective-serv
0,29,0,Exec-managerial
1,42,0,Exec-managerial
0,38,0,Craft-repair
1,41,0,Prof-specialty
1,44,0,Sales
0,31,0,Prof-specialty
