income,age,sex,occupation
<=50K,48,Female,Exec-managerial
<=50K,32,Male,Other-service
>50K,76,Male,Exec-managerial
>50K,44,Male,Exec-managerial
<=50K,47,Female,Prof-specialty
<=50K,20,Female,Tech-support
<=50K,29,Male,Craft-repair
>50K,32,Male,Craft-repair
<=50K,17,Female,?
<=50K,30,Male,Handlers-cleaners
<=50K,31,Female,Adm-clerical
<=50K,42,Male,Handlers-cleaners
<=50K,24,Male,Sales
>50K,38,Male,Prof-specialty
>50K,56,Male,Other-service
<=50K,28,Female,Sales
<=50K,36,Female,Machine-op-inspct
<=50K,53,Male,Handlers-cleaners
<=50K,56,Male,Sales
>50K,49,Male,Craft-repair
<=50K,55,Male,Sales
<=50K,22,Male,Craft-repair
<=50K,21,Female,Other-service
<=50K,40,Male,Exec-managerial
<=50K,30,Male,Exec-managerial
>50K,29,Male,Prof-specialty
<=50K,19,Male,Other-service
>50K,47,Female,Exec-managerial
<=50K,20,Female,Adm-clerical
>50K,31,Male,Adm-clerical
<=50K,35,Male,?
<=50K,39,Male,Craft-repair
<=50K,28,Female,Sales
<=50K,24,Female,Other-service
<=50K,38,Male,Craft-repair
<=50K,37,Male,Sales
<=50K,46,Female,Tech-support
>50K,38,Male,Prof-specialty
<=50K,43,Male,Craft-repair
<=50K,27,Female,Adm-clerical
<=50K,20,Male,Sales
>50K,49,Male,Craft-repair
<=50K,61,Male,Craft-repair
<=50K,27,Female,Sales
<=50K,19,Male,Other-service
>50K,45,Female,Prof-specialty
<=50K,70,Male,Tech-support
<=50K,31,Female,Transport-moving
<=50K,22,Male,Other-service
<=50K,36,Female,Other-service
<=50K,64,Male,Craft-repair
<=50K,43,Female,?
<=50K,47,Female,Adm-clerical
<=50K,34,Female,Adm-clerical
<=50K,33,Female,Exec-managerial
<=50K,21,Male,Craft-repair
>50K,52,Male,?
<=50K,48,Male,Craft-repair
<=50K,23,Male,Handlers-cleaners
<=50K,71,Male,Sales
<=50K,29,Male,Craft-repair
<=50K,42,Male,Other-service
<=50K,68,Female,?
<=50K,25,Female,Other-service
<=50K,44,Female,Exec-managerial
<=50K,28,Female,Exec-managerial
>50K,45,Male,Sales
<=50K,36,Female,Other-service
<=50K,39,Male,Exec-managerial
<=50K,46,Male,Protective-serv
<=50K,18,Male,Handlers-cleaners
<=50K,66,Female,Prof-specialty
<=50K,27,Male,Other-service
<=50K,28,Male,Protective-serv
>50K,51,Male,Sales
<=50K,27,Male,Craft-repair
>50K,28,Male,Prof-specialty
<=50K,27,Female,Sales
<=50K,21,Male,Craft-repair
<=50K,34,Male,Handlers-cleaners
<=50K,18,Male,Other-service
<=50K,33,Male,Prof-specialty
>50K,44,Male,Exec-managerial
<=50K,43,Female,Adm-clerical
<=50K,30,Male,Craft-repair
>50K,40,Male,Machine-op-inspct
>50K,37,Male,Adm-clerical
<=50K,34,Male,Adm-clerical
<=50K,41,Female,Exec-managerial
<=50K,53,Female,?
<=50K,31,Female,Prof-specialty
>50K,58,Male,Prof-specialty
<=50K,38,Female,Machine-op-inspct
<=50K,24,Male,Machine-op-inspct
<=50K,41,Male,Craft-repair
<=50K,47,Male,Tech-support
<=50K,41,Male,Tech-support
<=50K,23,Male,Transport-moving
<=50K,36,Male,Craft-repair
>50K,40,Female,Exec-managerial
>50K,35,Male,Prof-specialty
<=50K,24,Male,Sales
<=50K,26,Female,Prof-specialty
<=50K,19,Male,?
>50K,51,Male,Exec-managerial
<=50K,42,Female,Prof-specialty
<=50K,37,Female,Adm-clerical
<=50K,18,Female,Sales
>50K,36,Male,Other-service
<=50K,35,Male,Craft-repair
>50K,58,Female,Sales
<=50K,17,Female,Sales
<=50K,44,Male,Transport-moving
>50K,37,Male,Craft-repair
<=50K,35,Female,Sales
<=50K,60,Male,Craft-repair
>50K,54,Male,Machine-op-inspct
>50K,37,Male,Exec-managerial
<=50K,50,Female,Sales
<=50K,38,Male,Sales
<=50K,45,Male,Prof-specialty
<=50K,25,Male,Craft-repair
<=50K,31,Male,Handlers-cleaners
<=50K,64,Male,?
<=50K,90,Male,Other-service
<=50K,54,Male,Adm-clerical
<=50K,53,Female,Machine-op-inspct
<=50K,18,Female,Sales
<=50K,60,Female,?
<=50K,66,Male,Farming-fishing
<=50K,75,Female,Adm-clerical
<=50K,65,Female,Adm-clerical
<=50K,35,Male,Transport-moving
<=50K,41,Female,Sales
<=50K,25,Male,Adm-clerical
<=50K,33,Female,Craft-repair
>50K,28,Male,Prof-specialty
<=50K,59,Male,Other-service
<=50K,40,Female,Adm-clerical
>50K,41,Male,Exec-managerial
>50K,38,Male,Exec-managerial
<=50K,23,Male,Transport-moving
>50K,40,Male,Prof-specialty
<=50K,41,Female,Other-service
<=50K,24,Male,Protective-serv
<=50K,20,Male,?
<=50K,38,Male,Craft-repair
<=50K,56,Male,Adm-clerical
>50K,58,Male,Adm-clerical
<=50K,32,Female,Other-service
>50K,40,Male,Tech-support
<=50K,45,Male,Adm-clerical
>50K,41,Female,Prof-specialty
<=50K,42,Female,Adm-clerical
<=50K,59,Female,Other-service
<=50K,19,Male,Adm-clerical
<=50K,58,Male,Transport-moving
>50K,42,Male,Farming-fishing
<=50K,20,Female,Other-service
<=50K,32,Female,Other-service
<=50K,45,Female,Exec-managerial
<=50K,50,Male,Craft-repair
<=50K,36,Female,Prof-specialty
<=50K,45,Male,Sales
<=50K,17,Male,Other-service
<=50K,59,Male,Sales
<=50K,26,Male,Craft-repair
>50K,37,Male,Exec-managerial
<=50K,19,Male,?
>50K,64,Male,Exec-managerial
<=50K,33,Female,Prof-specialty
>50K,33,Female,Craft-repair
>50K,61,Male,Exec-managerial
<=50K,17,Male,Other-service
<=50K,50,Male,Farming-fishing
<=50K,27,Male,Prof-specialty
<=50K,30,Female,Prof-specialty
<=50K,43,Male,Handlers-cleaners
>50K,44,Male,Craft-repair
<=50K,35,Female,Exec-managerial
<=50K,25,Female,Tech-support
>50K,24,Female,Machine-op-inspct
<=50K,22,Female,Prof-specialty
>50K,42,Male,Craft-repair
<=50K,34,Female,Sales
<=50K,60,Female,Prof-specialty
<=50K,21,Male,Handlers-cleaners
>50K,57,Male,Sales
>50K,41,Male,Prof-specialty
<=50K,50,Male,Other-service
<=50K,25,Female,Exec-managerial
<=50K,50,Male,Craft-repair
<=50K,36,Male,Prof-specialty
<=50K,31,Female,Prof-specialty
<=50K,29,Male,Protective-serv
<=50K,21,Male,Sales
<=50K,27,Female,Tech-support
<=50K,65,Male,Transport-moving
<=50K,37,Female,Sales
<=50K,39,Female,?
<=50K,24,Male,Craft-repair
<=50K,38,Male,Sales
>50K,48,Male,Adm-clerical
<=50K,21,Female,Other-service
>50K,31,Male,Transport-moving
>50K,55,Male,Sales
<=50K,24,Female,Adm-clerical
<=50K,43,Female,Adm-clerical
<=50K,26,Male,Tech-support
<=50K,46,Female,Prof-specialty
>50K,35,Male,Adm-clerical
>50K,41,Male,Farming-fishing
<=50K,26,Male,Sales
>50K,34,Male,Exec-managerial
<=50K,19,Female,?
>50K,36,Female,Prof-specialty
<=50K,22,Male,Sales
<=50K,24,Male,Machine-op-inspct
<=50K,77,Male,Sales
<=50K,22,Female,Machine-op-inspct
<=50K,29,Female,Tech-support
<=50K,62,Female,Other-service
<=50K,39,Male,Exec-managerial
<=50K,43,Male,Craft-repair
<=50K,35,Male,Transport-moving
<=50K,29,Female,Exec-managerial
<=50K,76,Male,Craft-repair
<=50K,63,Male,Farming-fishing
<=50K,23,Female,?
>50K,43,Female,Prof-specialty
<=50K,58,Male,Handlers-cleaners
<=50K,66,Male,Transport-moving
<=50K,41,Male,Craft-repair
<=50K,26,Male,Adm-clerical
<=50K,47,Male,Other-service
<=50K,55,Male,Adm-clerical
<=50K,53,Male,Transport-moving
<=50K,17,Male,Other-service
<=50K,30,Male,Craft-repair
<=50K,49,Male,Prof-specialty
<=50K,19,Male,Sales
<=50K,45,Male,Other-service
<=50K,26,Male,Sales
>50K,38,Male,Craft-repair
>50K,36,Male,Protective-serv
<=50K,33,Male,Farming-fishing
<=50K,22,Female,Protective-serv
<=50K,43,Male,Sales
<=50K,67,Male,?
<=50K,30,Female,?
<=50K,56,Male,Other-service
<=50K,31,Male,Prof-specialty
>50K,33,Male,Exec-managerial
<=50K,26,Male,Other-service
>50K,33,Male,Exec-managerial
<=50K,46,Male,Transport-moving
>50K,59,Male,?
>50K,38,Male,Adm-clerical
<=50K,65,Male,Other-service
>50K,40,Male,Tech-support
<=50K,42,Female,Adm-clerical
<=50K,26,Male,Craft-repair
<=50K,36,Female,Other-service
>50K,62,Male,Prof-specialty
<=50K,43,Male,Transport-moving
>50K,43,Male,Exec-managerial
<=50K,22,Male,Sales
<=50K,28,Male,Craft-repair
<=50K,56,Male,Sales
<=50K,22,Female,Sales
>50K,57,Female,Exec-managerial
<=50K,39,Female,Sales
<=50K,26,Female,Adm-clerical
<=50K,17,Male,Other-service
>50K,40,Male,Machine-op-inspct
<=50K,45,Male,Machine-op-inspct
<=50K,44,Male,Craft-repair
<=50K,20,Female,Adm-clerical
<=50K,33,Female,Craft-repair
<=50K,23,Male,Sales
<=50K,46,Male,Exec-managerial
<=50K,38,Male,Sales
<=50K,54,Male,Transport-moving
<=50K,46,Female,Craft-repair
<=50K,25,Male,Craft-repair
<=50K,46,Female,Sales
<=50K,36,Female,Transport-moving
<=50K,23,Female,Other-service
<=50K,29,Male,Machine-op-inspct
>50K,44,Female,Adm-clerical
<=50K,19,Female,Adm-clerical
<=50K,19,Female,Other-service
>50K,35,Female,Other-service
<=50K,27,Male,Craft-repair
<=50K,46,Male,Craft-repair
>50K,34,Male,Exec-managerial
<=50K,34,Female,Other-service
<=50K,44,Male,Tech-support
<=50K,45,Female,Handlers-cleaners
<=50K,20,Female,?
>50K,25,Male,Exec-managerial
>50K,52,Male,Exec-managerial
<=50K,20,Male,Handlers-cleaners
<=50K,28,Female,Other-service
>50K,50,Male,Protective-serv
<=50K,34,Female,Tech-support
<=50K,28,Male,Handlers-cleaners
>50K,41,Male,Exec-managerial
<=50K,28,Male,Adm-clerical
<=50K,46,Male,Craft-repair
>50K,28,Female,?
<=50K,32,Male,Exec-managerial
<=50K,41,Female,Other-service
<=50K,24,Female,Handlers-cleaners
<=50K,33,Female,Exec-managerial
>50K,46,Male,Exec-managerial
<=50K,31,Male,Machine-op-inspct
>50K,35,Male,Craft-repair
<=50K,52,Male,Machine-op-inspct
<=50K,30,Female,Other-service
<=50K,34,Male,Machine-op-inspct
<=50K,34,Female,Transport-moving
<=50K,20,Male,Sales
<=50K,17,Male,Handlers-cleaners
>50K,32,Female,Exec-managerial
<=50K,29,Male,Farming-fishing
<=50K,33,Female,Craft-repair
<=50K,25,Male,Transport-moving
<=50K,36,Male,Prof-specialty
<=50K,23,Male,Handlers-cleaners
>50K,63,Male,Exec-managerial
<=50K,47,Male,Prof-specialty
<=50K,80,Male,?
<=50K,17,Male,?
<=50K,40,Female,Prof-specialty
>50K,30,Female,Other-service
<=50K,27,Male,Craft-repair
>50K,33,Male,Prof-specialty
<=50K,34,Male,Farming-fishing
<=50K,34,Female,Protective-serv
<=50K,23,Male,Adm-clerical
<=50K,42,Female,Adm-clerical
<=50K,29,Male,Prof-specialty
<=50K,45,Female,Adm-clerical
<=50K,24,Male,Armed-Forces
>50K,44,Male,Prof-specialty
<=50K,27,Male,Craft-repair
<=50K,20,Male,Sales
<=50K,44,Female,Exec-managerial
<=50K,51,Male,Craft-repair
<=50K,20,Male,Machine-op-inspct
<=50K,17,Female,?
<=50K,19,Female,Machine-op-inspct
>50K,45,Male,Craft-repair
>50K,60,Male,Craft-repair
>50K,42,Male,Exec-managerial
>50K,44,Female,Sales
>50K,40,Male,Machine-op-inspct
<=50K,30,Female,Exec-managerial
<=50K,38,Male,Transport-moving
<=50K,23,Male,Transport-moving
<=50K,32,Male,?
<=50K,44,Male,Farming-fishing
<=50K,54,Male,Transport-moving
<=50K,32,Male,Prof-specialty
<=50K,50,Male,Craft-repair
<=50K,24,Female,Tech-support
<=50K,37,Female,Adm-clerical
<=50K,52,Male,Transport-moving
<=50K,38,Male,Transport-moving
>50K,49,Male,Exec-managerial
>50K,30,Female,Tech-support
>50K,60,Male,Prof-specialty
<=50K,22,Male,?
<=50K,35,Male,Craft-repair
<=50K,30,Male,Transport-moving
<=50K,67,Female,Other-service
<=50K,46,Female,Craft-repair
<=50K,17,Male,Other-service
<=50K,22,Male,Handlers-cleaners
<=50K,27,Male,Other-service
<=50K,23,Female,Other-service
<=50K,33,Male,Craft-repair
<=50K,43,Male,Craft-repair
<=50K,28,Male,Prof-specialty
<=50K,41,Female,Craft-repair
<=50K,52,Male,?
<=50K,25,Female,Adm-clerical
<=50K,63,Male,?
<=50K,59,Male,Transport-moving
<=50K,45,Female,Prof-specialty
>50K,38,Male,Sales
<=50K,40,Female,Other-service
<=50K,46,Male,Adm-clerical
<=50K,35,Female,Exec-managerial
<=50K,34,Female,Prof-specialty
<=50K,33,Male,Craft-repair
<=50K,41,Female,Adm-clerical
<=50K,20,Male,Machine-op-inspct
<=50K,23,Male,Other-service
<=50K,26,Female,Prof-specialty
<=50K,72,Male,?
<=50K,23,Male,Farming-fishing
<=50K,62,Male,Transport-moving
<=50K,52,Male,Adm-clerical
<=50K,58,Female,Other-service
<=50K,25,Female,Sales
<=50K,24,Male,Exec-managerial
<=50K,19,Male,Protective-serv
<=50K,43,Male,Exec-managerial
<=50K,47,Female,Adm-clerical
<=50K,39,Female,Other-service
<=50K,49,Male,Handlers-cleaners
<=50K,53,Female,?
<=50K,32,Male,Craft-repair
>50K,34,Male,Prof-specialty
<=50K,28,Male,Craft-repair
<=50K,57,Female,?
<=50K,25,Female,Adm-clerical
<=50K,20,Male,?
<=50K,21,Female,?
>50K,34,Male,Prof-specialty
>50K,38,Male,Exec-managerial
>50K,50,Male,Exec-managerial
<=50K,24,Male,Handlers-cleaners
>50K,37,Male,Tech-support
>50K,44,Male,Machine-op-inspct
<=50K,28,Female,Sales
>50K,42,Male,Exec-managerial
<=50K,74,Female,Adm-clerical
<=50K,38,Male,Craft-repair
<=50K,44,Male,Prof-specialty
<=50K,44,Female,Machine-op-inspct
<=50K,26,Male,Machine-op-inspct
<=50K,36,Male,Other-service
>50K,41,Female,Exec-managerial
>50K,67,Male,Prof-specialty
<=50K,39,Male,Tech-support
<=50K,57,Female,Priv-house-serv
<=50K,29,Male,Craft-repair
<=50K,31,Female,Farming-fishing
<=50K,34,Female,?
<=50K,44,Male,Transport-moving
<=50K,29,Male,Prof-specialty
<=50K,30,Female,Handlers-cleaners
<=50K,27,Male,Transport-moving
<=50K,27,Male,Sales
<=50K,32,Female,Handlers-cleaners
<=50K,58,Female,Other-service
<=50K,35,Male,Protective-serv
<=50K,21,Male,Handlers-cleaners
<=50K,28,Male,Craft-repair
<=50K,46,Male,Exec-managerial
<=50K,36,Female,Other-service
<=50K,72,Female,Adm-clerical
<=50K,35,Female,Machine-op-inspct
>50K,33,Female,Craft-repair
<=50K,69,Female,Machine-op-inspct
<=50K,35,Male,Machine-op-inspct
<=50K,31,Female,Adm-clerical
<=50K,34,Female,Tech-support
<=50K,30,Male,Other-service
<=50K,28,Male,Transport-moving
>50K,54,Male,Sales
>50K,47,Male,Prof-specialty
<=50K,24,Female,Handlers-cleaners
>50K,52,Male,Prof-specialty
<=50K,20,Male,Handlers-cleaners
<=50K,43,Male,Exec-managerial
<=50K,45,Female,Other-service
<=50K,29,Male,Craft-repair
<=50K,47,Male,Exec-managerial
<=50K,24,Male,Craft-repair
<=50K,51,Male,Prof-specialty
<=50K,17,Male,Sales
>50K,37,Male,Craft-repair
<=50K,27,Female,Prof-specialty
>50K,29,Male,Exec-managerial
<=50K,18,Male,?
<=50K,36,Female,Sales
<=50K,58,Female,Prof-specialty
<=50K,26,Male,Craft-repair
>50K,65,Male,?
>50K,57,Male,Sales
<=50K,59,Male,Craft-repair
<=50K,27,Male,Machine-op-inspct
<=50K,31,Male,Tech-support
<=50K,21,Female,Sales
<=50K,29,Male,Adm-clerical
<=50K,18,Male,Other-service
>50K,52,Male,Craft-repair
<=50K,57,Male,Prof-specialty
<=50K,42,Male,?
<=50K,55,Female,?
>50K,60,Male,Transport-moving
>50K,31,Male,Prof-specialty
<=50K,23,Female,Adm-clerical
<=50K,27,Male,Sales
<=50K,23,Female,?
>50K,42,Male,Prof-specialty
<=50K,25,Male,Tech-support
<=50K,49,Female,Prof-specialty
<=50K,32,Male,Tech-support
<=50K,19,Male,Adm-clerical
<=50K,60,Female,Other-service
<=50K,42,Male,Other-service
<=50K,35,Male,Farming-fishing
<=50K,48,Female,Adm-clerical
>50K,51,Male,Craft-repair
<=50K,29,Male,Craft-repair
<=50K,36,Male,Exec-managerial
<=50K,17,Female,Other-service
<=50K,52,Female,Prof-specialty
<=50K,24,Male,Craft-repair
<=50K,24,Male,Handlers-cleaners
<=50K,26,Male,Prof-specialty
<=50K,27,Female,Other-service
<=50K,39,Male,Handlers-cleaners
<=50K,30,Male,Transport-moving
<=50K,50,Male,Exec-managerial
<=50K,52,Male,Sales
>50K,46,Male,Prof-specialty
<=50K,23,Female,Sales
<=50K,45,Female,Other-service
<=50K,65,Female,Priv-house-serv
<=50K,29,Male,Transport-moving
<=50K,47,Male,Handlers-cleaners
<=50K,30,Male,Farming-fishing
>50K,34,Male,Sales
<=50K,38,Male,Sales
>50K,33,Male,Exec-managerial
>50K,49,Male,Sales
<=50K,47,Female,Other-service
<=50K,49,Female,Other-service
>50K,43,Male,Craft-repair
>50K,30,Female,Adm-clerical
<=50K,58,Male,Craft-repair
<=50K,19,Female,Other-service
<=50K,21,Male,Handlers-cleaners
>50K,33,Male,Exec-managerial
<=50K,47,Male,Transport-moving
>50K,52,Male,Prof-specialty
<=50K,26,Male,Craft-repair
<=50K,60,Male,Craft-repair
<=50K,21,Male,Handlers-cleaners
>50K,36,Male,Sales
<=50K,31,Male,Craft-repair
>50K,50,Male,Prof-specialty
<=50K,31,Female,Adm-clerical
<=50K,71,Male,Craft-repair
<=50K,58,Male,?
>50K,30,Male,Tech-support
<=50K,20,Male,Other-service
<=50K,24,Male,Exec-managerial
>50K,35,Male,Prof-specialty
<=50K,38,Female,Exec-managerial
<=50K,27,Female,Machine-op-inspct
<=50K,29,Female,Adm-clerical
<=50K,70,Female,?
<=50K,34,Male,Craft-repair
<=50K,44,Male,Craft-repair
>50K,43,Male,Machine-op-inspct
>50K,44,Male,Handlers-cleaners
<=50K,35,Male,Sales
<=50K,27,Male,Prof-specialty
<=50K,43,Male,Prof-specialty
<=50K,20,Female,Sales
>50K,42,Female,Prof-specialty
<=50K,27,Male,Transport-moving
>50K,42,Male,Craft-repair
<=50K,20,Female,?
<=50K,24,Male,Machine-op-inspct
<=50K,48,Male,Exec-managerial
<=50K,17,Female,?
<=50K,17,Male,Farming-fishing
>50K,33,Male,Exec-managerial
>50K,50,Male,Sales
<=50K,22,Female,Sales
<=50K,17,Male,Other-service
<=50K,32,Male,Adm-clerical
<=50K,31,Male,Craft-repair
<=50K,58,Male,Exec-managerial
<=50K,29,Male,Protective-serv
>50K,37,Male,Craft-repair
>50K,34,Male,Craft-repair
<=50K,23,Male,Exec-managerial
<=50K,18,Female,Adm-clerical
<=50K,34,Female,Exec-managerial
<=50K,66,Male,?
<=50K,45,Female,Prof-specialty
<=50K,41,Male,Exec-managerial
<=50K,26,Male,Other-service
<=50K,54,Male,Farming-fishing
<=50K,24,Female,Machine-op-inspct
<=50K,42,Male,Prof-specialty
<=50K,20,Male,Prof-specialty
<=50K,23,Female,Tech-support
<=50K,25,Male,?
>50K,35,Male,Prof-specialty
>50K,31,Male,Tech-support
<=50K,30,Female,Prof-specialty
<=50K,19,Female,Sales
<=50K,36,Male,Prof-specialty
<=50K,31,Female,Sales
<=50K,21,Male,Handlers-cleaners
<=50K,31,Male,Craft-repair
>50K,46,Female,Prof-specialty
>50K,44,Female,Exec-managerial
<=50K,40,Male,Other-service
<=50K,45,Male,Sales
<=50K,60,Male,Craft-repair
<=50K,18,Male,Other-service
<=50K,28,Male,Prof-specialty
<=50K,36,Female,Adm-clerical
<=50K,36,Male,Prof-specialty
<=50K,40,Male,Tech-support
<=50K,36,Female,Adm-clerical
<=50K,31,Female,Other-service
<=50K,33,Male,Machine-op-inspct
<=50K,19,Female,Tech-support
<=50K,22,Female,Sales
>50K,34,Male,Exec-managerial
<=50K,33,Male,Other-service
<=50K,41,Male,Craft-repair
<=50K,29,Male,Prof-specialty
>50K,50,Male,Exec-managerial
>50K,42,Male,Exec-managerial
>50K,43,Male,Prof-specialty
<=50K,44,Female,Sales
<=50K,20,Female,Other-service
<=50K,31,Male,Other-service
>50K,65,Male,Exec-managerial
<=50K,23,Female,Other-service
<=50K,55,Female,Adm-clerical
<=50K,26,Male,Adm-clerical
<=50K,25,Female,Other-service
<=50K,45,Female,?
<=50K,35,Male,Craft-repair
<=50K,36,Female,Sales
<=50K,43,Male,Prof-specialty
<=50K,56,Female,Other-service
>50K,42,Male,Tech-support
<=50K,19,Female,Other-service
<=50K,55,Male,Transport-moving
>50K,42,Female,Exec-managerial
<=50K,26,Male,Tech-support
<=50K,17,Male,Handlers-cleaners
>50K,42,Female,Prof-specialty
>50K,55,Male,Transport-moving
<=50K,32,Female,Adm-clerical
<=50K,29,Male,Craft-repair
<=50K,46,Male,Prof-specialty
>50K,29,Male,Exec-managerial
<=50K,22,Male,Prof-specialty
<=50K,58,Male,Craft-repair
<=50K,23,Male,Transport-moving
<=50K,39,Male,Handlers-cleaners
<=50K,27,Male,Craft-repair
>50K,54,Male,Transport-moving
<=50K,33,Female,Prof-specialty
>50K,46,Female,Adm-clerical
<=50K,37,Male,Farming-fishing
<=50K,36,Female,Other-service
>50K,59,Female,Adm-clerical
<=50K,34,Male,Protective-serv
>50K,53,Male,Exec-managerial
>50K,51,Male,Sales
<=50K,32,Female,Other-service
<=50K,31,Male,Other-service
<=50K,22,Female,Sales
<=50K,47,Female,Sales
<=50K,32,Male,Machine-op-inspct
<=50K,26,Female,Farming-fishing
<=50K,37,Male,Farming-fishing
<=50K,31,Male,Craft-repair
>50K,37,Female,Tech-support
<=50K,55,Male,Sales
<=50K,23,Male,Tech-support
<=50K,36,Female,Adm-clerical
<=50K,34,Male,Prof-specialty
>50K,43,Male,Sales
<=50K,54,Male,Tech-support
<=50K,43,Male,Craft-repair
<=50K,28,Female,Machine-op-inspct
>50K,40,Male,Exec-managerial
<=50K,41,Male,Exec-managerial
>50K,40,Female,Sales
<=50K,42,Female,Adm-clerical
<=50K,61,Male,Farming-fishing
<=50K,18,Male,Machine-op-inspct
<=50K,59,Male,?
<=50K,21,Female,?
>50K,48,Male,Tech-support
<=50K,41,Male,Tech-support
<=50K,18,Male,?
<=50K,23,Female,Sales
>50K,60,Male,Transport-moving
<=50K,22,Male,Other-service
<=50K,61,Male,Machine-op-inspct
<=50K,25,Male,Machine-op-inspct
>50K,46,Male,Tech-support
>50K,43,Male,Exec-managerial
<=50K,43,Male,Craft-repair
<=50K,24,Male,Other-service
<=50K,68,Male,Farming-fishing
<=50K,31,Female,Adm-clerical
<=50K,17,Female,Sales
>50K,32,Male,Craft-repair
<=50K,50,Male,?
>50K,33,Male,Prof-specialty
>50K,64,Male,Prof-specialty
<=50K,20,Male,Transport-moving
<=50K,30,Female,Other-service
<=50K,22,Male,?
<=50K,43,Male,Exec-managerial
<=50K,22,Male,Adm-clerical
<=50K,17,Male,Farming-fishing
<=50K,47,Female,Other-service
<=50K,41,Female,Prof-specialty
>50K,56,Male,Craft-repair
<=50K,64,Male,Transport-moving
>50K,47,Male,Transport-moving
<=50K,48,Male,Adm-clerical
<=50K,31,Female,Prof-specialty
<=50K,29,Male,Tech-support
<=50K,30,Female,Adm-clerical
<=50K,32,Male,Exec-managerial
>50K,57,Male,Transport-moving
<=50K,62,Female,Other-service
<=50K,39,Female,Machine-op-inspct
<=50K,43,Male,Adm-clerical
<=50K,24,Male,Sales
<=50K,42,Male,?
>50K,53,Female,Adm-clerical
<=50K,26,Male,Handlers-cleaners
<=50K,73,Male,Exec-managerial
<=50K,72,Female,?
<=50K,55,Male,Machine-op-inspct
<=50K,25,Male,Adm-clerical
>50K,41,Female,Prof-specialty
<=50K,24,Male,Exec-managerial
<=50K,63,Male,Farming-fishing
<=50K,17,Male,Sales
<=50K,35,Male,Craft-repair
>50K,51,Male,Prof-specialty
<=50K,62,Female,Prof-specialty
>50K,55,Male,Craft-repair
<=50K,43,Male,Prof-specialty
